Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Blade design (product.metafields.shopify.blade-design),Blade material (product.metafields.shopify.blade-material),Color (product.metafields.shopify.color-pattern),Condition (product.metafields.shopify.condition),Handle color (product.metafields.shopify.handle-color),Handle material (product.metafields.shopify.handle-material),Hardware material (product.metafields.shopify.hardware-material),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Material (product.metafields.shopify.material),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / France,Price / France,Compare At Price / France,Included / European Union,Price / European Union,Compare At Price / European Union,Included / International,Price / International,Compare At Price / International,Status
edge-of-space-inox-et-if-epoxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3901.jpg?v=1759588171,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge-of-space-inox-et-if-epoxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3899.jpg?v=1759588171,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge-of-space-inox-et-if-epoxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3905.jpg?v=1759587823,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge-of-space-inox-et-if-epoxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3906.jpg?v=1759587824,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edge-of-space-inox-et-if-epoxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/EdgeOfSpaceDimensionsIfEpoxy.png?v=1759588053,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la-dague-rebelle,La dague rebelle,"<div style=""text-align: left;""><img src=""https://cdn.shopify.com/s/files/1/0881/4152/9430/files/screenshot000_600x600.jpg?v=1758990587"" alt="""" style=""margin-right: 20px; margin-bottom: 20px; float: left;""></div>
<p>Pour marquer les esprits, cette dague rebelle devait nécessairement mettre en avant des caractéristiques iconiques de l'alliance rebelle. Elle reprend ainsi la forme générale d'un X-Wing tout en y incorporant des éléments d'un sabre laser Jedi.</p>
<p>Elle est donc à la fois agressive avec sa garde ""brute de forge"" aux flancs pointus, et apaisante avec son manche Jedi aux contours arrondis et teintés de sagesse.</p>
<p>Sa lame est forgée à la main à partir d'acier <strong>damas</strong> inoxydable Damax (135 couches alternées d'aciers suédois de marque Alleima).</p>
<p>Sa garde est en acier inoxydable 14C28N (également de marque Alleima) avec un aspect ""Brute de forge"" et un guillochage sur les flancs.</p>
<p>Son manche est en Chêne des marais (1400 ans) avec des insert en Acacia. Il présente une gravure laser sur logo de l'alliance rebelle comblée d'Epoxy nacrée.</p>
<p>Enfin son pommeau est également en Chêne des marais et se termine par un assemblage de 5 métaux (3 couches d'acier inox et 2 couches de Nickel) fait maison et soudé à la forge.</p>",Carbone Stellaire,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Weapons > Collectible Knives > Custom Collectible Knives,Couteau,"",true,Title,Default Title,,,,,,,,CS-SL-0002,250.0,shopify,0,deny,manual,480.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3845.jpg?v=1758989729,1,"",false,,,5311,,,,new,TRUE,,,,,,TRUE,,,stainless-steel; damascus-steel,,neuf,black; jaune; silver,morta; acacia; stainless-steel; nickel,,,,,,,,,,,g,,,true,,,true,,,true,,,active
la-dague-rebelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3849.jpg?v=1758989729,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la-dague-rebelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3853.jpg?v=1758989728,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la-dague-rebelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3850.jpg?v=1758989728,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la-dague-rebelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3847.jpg?v=1758989728,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la-dague-rebelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3846.jpg?v=1758989729,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la-dague-rebelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/SciFiLegendsDagueRebelleDimensions.png?v=1758989734,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
couteau-de-chef-starfleet,Couteau de chef Starfleet,"<div style=""text-align: left;"">
<img style=""margin-right: 20px; margin-bottom: 20px; float: left;"" src=""https://cdn.shopify.com/s/files/1/0881/4152/9430/files/picard_480x480.png?v=1758981685"">Ce couteau est immédiat identifiable à l'univers de Star Trek et plus particulièrement celui de Starfleet. Il reprend les codes couleurs et le design des uniformes des officiers de l'Enterprise.</div>
<div style=""text-align: left;""><br></div>
<div style=""text-align: left;"">Sa lame est forgée à la main en acier inoxydable <strong>14C28N</strong>. Elle présente un aspect ""Brute de forge"" et un guillochage au niveau de la soie. Sa forme globale rappelle bien évidemment les lignes du logo de Starfleet.</div>
<div style=""text-align: left;""><br></div>
<div style=""text-align: left;"">Le logo de Starfleet est gravé au laser sur le dessus du manche et il est comblé de résine Epoxy mélangée avec de la poussière de laiton.</div>
<div style=""text-align: left;""><br></div>
<div style=""text-align: left;"">Son manche est en <strong>Red Heart</strong> et en résine Epoxy noire. La lame y est rivetée avec 4 rivets en laiton symbolisant le grade de capitaine porté au col de l'uniforme de Picard.</div>",Carbone Stellaire,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Weapons > Collectible Knives > Custom Collectible Knives,Couteau,"",true,Title,Default Title,,,,,,,,CS-SL-0001,190.0,shopify,0,deny,manual,405.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3801.jpg?v=1758979587,1,"",false,,,5311,,,,new,TRUE,,,,,,TRUE,,,stainless-steel; 14-c-28-n,,neuf,red; black; or,red-heart; epoxy,,,,,,,,,,,g,,,true,,,true,,,true,,,active
couteau-de-chef-starfleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3799_f5cd6200-7488-4356-8e68-c4550d7b6958.jpg?v=1758979587,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
couteau-de-chef-starfleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3800.jpg?v=1758979587,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
couteau-de-chef-starfleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3803.jpg?v=1758979586,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
couteau-de-chef-starfleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/IMG_3798.jpg?v=1758979586,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
couteau-de-chef-starfleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0881/4152/9430/files/SciFiLegendsCouteauStarfleetDimensions.png?v=1758980441,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
